message,proxy_tag,true_intent,should_escalate,escalate_reason_gold,human_reply_quality_notes
Can I know who’s responsible for what happens to me today I lost all my data and all my photos due to the last update you released.,how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
"Nothing says ""0 F's Given"" like an alert that your iPhone X ""Trade Up"" order may be cancelled because they didn't receive the old phone. The NEW phone hasn't even arrived! It has been in Chinese customs for a week with no firm ETA. Nice customer experience .",delivery_order_issue,delivery_order_issue,True,Order fulfillment exception/investigation required,
"I work with it. I use Music App, Spotify and a BT Speaker but this never happen bfore. Now, I use 2 Ext. Batteries to help the devices.",other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"10.13 ""an error occurred while preparing the installation"". Internet says re-download installer...",product_bug_report,other,False,Ambiguous inquiry,
I still haven’t been issued my refund???,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
"Yes. 1st, no notif to some messages. 2nd, messages aren’t in order. 3rd, messages in general is slower than that of iOS10.",delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
after installation of 11.0.3 problems of Bluetooth &amp; SMS re-delivery,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
Hope it solve my problem😔,other_or_general_complaint,other,False,Direct message status or ungrounded short conversational turn,
I have tried everything but it is not working. It’s come back after some time.,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"If there is only hardware problem, why you guys force customer to reset their devices? And what about their data?",account_access,general_complaint,False,General product complaint without clear technical diagnostic,
The last version before iOS11,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
I updated my phone now I only have 2 photos in my camera roll .. where is my picturesss,how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
is it possible to order the Iphone 8 plus on apple US then directly ship to the Philippines?,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
"My sister works at apple, she helped me make sure the iOS was up to date. I also reset the IOS.",account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
yo can you respond my pictures and videos got deleted and nobody touch my phone and my website data,other_or_general_complaint,product_bug_report,True,Critical security anomaly/biometric breach or hardware reboot loop,
It arrived yesterday,delivery_order_issue,other,False,Ambiguous inquiry,
There is a problem with me in the iPad is the lock activation and I can not remember the email and password Can you help me?,account_access,account_access,False,Account access and settings inquiry,
why can my watch never get heart rate readings when tracking a “core workout” but it works just fine for “indoor run”,delivery_order_issue,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Sent to same group of contacts (one is non iPhone user) worked with photo didn’t work with pano,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
how can I increase my activity goals on my #applewatchseries1,how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
iPhone 8+. It isn’t saying an error but more of just asking for my ID then buffering. Then later on it asks me to fingerprint again,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
It only occurs when i am in the san francisco bay area. In souther california it was working fine. I have restarted my phone multiple times but still nothing.,other_or_general_complaint,other,False,Ambiguous inquiry,
hi do you do additional memory for Ipad3? Thanks,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
SMC reset did not help,account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Placed order but noticed the shipping address was wrong. Order status went from placed to preparing to ship” need to cancel!,billing_dispute,delivery_order_issue,False,General order status or pre-order inquiry,
thank you. iPad is back on. I plugged into wall only 10ins &amp; says 100% so some sort of updates blip!! thanks anyway,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
why am I being told “this accessory may not be supported “when I try and charge my phone,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
I need to edit my shipping address on my iPhone X order. I am unable to do it online. Options? Thanks much.,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
Dear where have all my #iCloud emails gone?,other_or_general_complaint,account_access,False,Account access and settings inquiry,
"sum1 please tell my why 4000 photos that I deleted (some over 2 years ago) suddenly appeared back onto my camera roll, all out of order HOW CAN I FIX THIS ??",delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
since IOS11 update the battery of my iphone ‘dies’ really quick.. eg. jumping in seconds from 46% to 41% #HELP,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
11.0.3 I also had my video cam option disappear from my camera app for the morning today.,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
my iPhone 6 battery only lasts for a few hours on a full charge. Any way to check if the battery is healthy?,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
this is the problem im facing after updating ios 11.0.0 And till Uos 11.0.3,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"slight integer arithmetic bug, huh",product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Charge phone to 100% unlock phone then it goes to 3% iOS 11 is useless,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
Thanks! It's 10.3.3,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
Mine too! I wonder what we can do about it? My phone is 6s but I have to charge it twice a day 😭,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
"How long should an iPhone 6S typically last? Won’t hold a charge, freezes, dies. Is this something to be concerned about?",billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
HOW DO I️ FIX THIS SOMEONE HELP,how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
"4 hrs w/iOS 11.1, no change in battery consumption . Thanks anyway. Can we have iOS 10 back ?",praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
Hi sir after I update my I phone coming more problems for my mobile I can't charge it and Suspension and hot I can't use all this happened because of update what I do ?,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
"11.1.1, could just be a bug in the iPhone X tbh.",product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"Hey, can I use 3D Touch multitasking with iPhone X? Thanks!",how_to_question,praise_or_thanks,False,Customer expression of gratitude; no action required,
apple ID login page appears to be broken,account_access,account_access,False,Account access and settings inquiry,
"Thank you for your quick answer. It's an IPhone 6, 10.3.3",praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
Thank You,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
not working in any app. I have sierra 10.12.3,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Please release a new update soon. My phone keeps freezing and I’ve hard reset about 5x yesterday 😞😭,account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
So i have a pending charge for hulu but i canceled my subscription... HELP,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
can I get this fixed at the store? #justhappened #1stgen,how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
"Thank you , the problem is solve, no more A for an I, just a little thing... now the iPhone is turning on and off by itself...",praise_or_thanks,product_bug_report,True,Critical security anomaly/biometric breach or hardware reboot loop,
somehow with you three updates in the past month you have now managed to kill the great quality the iPhone 8 Plus had in their speakers. Now it sounds trashy and not even half the volume that’s not counting all the crashes and freezes,praise_or_thanks,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Hey and -- my phone was affected by this random restart bug yesterday and the Genius had me buy a new phone yesterday! Who do I talk to about a refund?,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
software up to date (iOS 11.0.3) but audio on calls still not working???? Can’t even hear dialling tones,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
I got an fake email from Apple Support informing of someone using my account somewhere and asking for me to update my password. Where can I submit this email?,account_access,account_access,False,Account access and settings inquiry,
"wow ios 11.0.3 is shocking. My iPhone 7 now lags like crazy, the touchscreen intermittent &amp; sometime gets stuck in landscape!!",other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"Hey my iPhones a piece of shit, how do I fix it?",how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
I’ve read that we can use the iPad Power Adapter to charge any iPhone from the 6 to X. It’s supposed to charge a little faster. Is this right? Don’t wanna mess up anything.,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
"Have tried restoring backup, restored to iOS 11.0.1, setup as new iPhone, reset network settings. So yes, I have tried everything.",account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
my iPhone 7 has been lagging. What’s going on i didn’t sign up for this.,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"Thank you Team, got it",praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
"So I reset my phone twice and my video function works now lol I still have a great amount of space over 100GB the freezing is honestly random but it just started recently, I have a 7 plus.",account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"I have an issue with listening to Apple Music — it plays like 1 sec and then pauses. It happens when EarPods are connected. Already did relaunching Music app and hard reset. They work on the same iPhone 8 in other apps, but this happens only in Music.",account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Okay I'm confused im broke and wanna buy #iPhone7 how can I do that please ?,how_to_question,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
how do i reset my appleID if the phone number registered to MY ID is one I do not recognized? #hacked #PLEASEHELP,account_access,account_access,False,Account access and settings inquiry,
"It’s 10am and my iPhone 7+ is down to half charge. iOS 11 has wrecked my phone, . 2 Hours, 40 Min of use.",billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
But it’s still not working,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"thanks. the blue line at the top of the messages window starts progressing on my MacBook Pro when I hit return but then it hangs near the end. after some time it says ""not delivered"". I've tried logging in &amp; out of messages &amp; restarting computer.",praise_or_thanks,delivery_order_issue,False,General order status or pre-order inquiry,
every time I download an app I have to verify credit card info. How do I turn that off?,how_to_question,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
Thanks for the update! All seems to be working ok now with iOS 11.2,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
I’ve reset my keyboard and it has gone back to it. You hear me I’m switching to,account_access,general_complaint,True,High frustration / churn escalation,
"Hi! I am from NYC... I arrived in Bali, Indonesia late last night. I have a practically brand new iPhone 8+ w/ Apple Care. It is *completely malfunctioning.* What can I do? I am going to be in Bali until 1/2/18... I need a phone! Please advise. Thank you so much!",delivery_order_issue,praise_or_thanks,False,Customer expression of gratitude; no action required,
my photos got delted when i reseted my phone. How to get them back??,how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
"Got it taken care of, thanks. Was using Chrome, and the blocked pop-up notification is easy to miss.",praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
"hey, I clicked “install later” on your spammy update message for iOS 11. My phone froze for a solid minute and reset and installed the update without my consent (update rape). Also... my alarms didn’t go off and I was late for work from this.",account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
After iOS11.1 update... Still... #iPhone7 camera “seamlessly” not working☹️ #makeiPhonegreatagain,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"the new iOS is awful. My phone has to be restarted daily due to calls &amp; apps not working, and my home button stopped working",product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
it's good to want to take my iPhone service .. but the person was wrong in my email .. I have no order summary or intervention voucher .. they come to get my iPhone 5 December! 🤔🤔,delivery_order_issue,delivery_order_issue,True,Order fulfillment exception/investigation required,
"I’m getting notifications that my cloud storage is full, &amp; I’m not interested in subscribing for more. Can I disable those alerts?",how_to_question,other,False,Ambiguous inquiry,
Thank you. Can facial recognition/tracking be restricted on iPhone X? Can it be restricted separately from Face ID?,delivery_order_issue,praise_or_thanks,False,Customer expression of gratitude; no action required,
ios 11.3. What the point of a wireless phone if I have to keep it plugged in. Can’t hold a charge.,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
POR TODO CELULAR DE VOCES A BATERIA FICA VICIADA RAPIDo E PARA DE FUNCIONAR é o 4º iphone meu que acontece isso,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
What do I do with an iPad that won't take a charge? Do you recycle? Can I get a new battery?,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
iOS 11 has killed by battery life by 50%. I have a iPhone 6. I charge it 2x a day now. At 12pm and at night time. What to do?,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
I hate the new update it keeps freezing my phone wassup with that ?,other_or_general_complaint,general_complaint,False,General product complaint without clear technical diagnostic,
one of the bug in IOS 11.0.3 randomly crashes giving out blank screen #IOS11,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"Brilliant, your advice on the link worked a treat. Been up since 5am with my iPhone- it’s still 75% at 4:56pm. Result! Thanks for your help.",praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
"so my iTunes password apparently isn’t the same as my Apple ID , I can’t update nor download any apps, every time I try to log out the iTunes app its trying to log out my Apple ID 😩🙄 ughhhh",account_access,account_access,False,Account access and settings inquiry,
i’ve had my iphone 8+ for about a month now and every few days it freezes and does absolutely nothing and i end up having to reset it? this time being the worst when it froze for 20+ minutes and wouldn’t reset.. missed 4 busses because of this 🙃,account_access,general_complaint,False,General product complaint without clear technical diagnostic,
started the first day I got the phone. running latest 11.2 beta…and has happened on 11.1 &amp; every 11.2 beta. can send short video if interested. thanks,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
Thank you! I am updating now. Crossing my fingers that it works.,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
"Okay, I really don’t know how this happened. I did not try something else, but the tracks are magically in order now. 😄 I have nothing to do with this &amp; don’t know how this happened, but I ain’t complaining. 🤷🏻‍♂️😊",delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
"I have bought iphone 7 plus 128 GB in June 2017 @ INR 65,000. If I wish to upgrade to iphone X 256 GB what will be the exchange price? When I inquired in near by Apple Store they quoted price less than 50% for old one. Then how do I will exchange? ""Expensive""",how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
I don’t understand how my order is at stage 2 when I should be collecting from a Store on Friday....any ideas?,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
help! My phone keeps rebooting every couple of minutes. This screen can I stop this?!,how_to_question,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
It’s whenever my phone is on charge for longer than a couple of hours!? Also all my iCloud photos have disappeared. How do I get them back?,billing_dispute,account_access,False,Account access and settings inquiry,
". I thought you should know there’s an email scam going around. Here is a screenshot. Included links to “click”. Looked legit, except I didn’t order the app listed.",delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
I just responded through dm on the twitter website,other_or_general_complaint,other,False,Direct message status or ungrounded short conversational turn,
the iOS 11.0.2 sucks I have no idea on how to get my music back,how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
"hi, I ordered an iPhone X on Apple Australia and it won’t let me update my phone number. It revered to my old phone number and it doesn’t change when I update it on the order details page. Can you help?",delivery_order_issue,delivery_order_issue,True,Order fulfillment exception/investigation required,
"hello, I have already downloaded ios 11.1.2 on my iPhone X, but while verifying it kept saying an error occurred installing ios , why?",product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"Awesome thanks! I wasn’t expecting a response but that worked, thank you",praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
i have an apple watch that won't come on. It showed it required charge which i did and it came on. Now it is non responsive,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
#apple my last code got 5 caracters : 4numbers &amp; 1letter ! How can I do ??? #help,how_to_question,other,False,Ambiguous inquiry,
curious if this is a legit message? I only received it on one website and can go to others as normal! Thanks!,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
plz look into the issue and refund the amount.,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
"Yoooo my iPad charger not working, what do i do?",product_bug_report,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
I reset it and it still allows my brother to open my phone with his face,account_access,product_bug_report,True,Critical security anomaly/biometric breach or hardware reboot loop,
"Since the new update 11.0.3, my iPhone has NO battery life now &amp; SUPER SLOW!! What gives? This is HORRIBLE!! Can I delete it?",how_to_question,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"if I do a season pass of a show &amp; decide I’m not liking it, can I cancel and get credit for the unreleased episodes?",billing_dispute,other,False,Ambiguous inquiry,
I wanted to delete that stuff to save some storage. That’s why I’m asking.,other_or_general_complaint,other,False,Ambiguous inquiry,
Any Solution for this bug?! I just can‘t use my phone,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Thank you. No other apps do it. app doesn't refresh at all can't see any videos or anything.,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
True tone adjustment has been sporadic at best since I got this 8+ over a month ago. On most recent update. Any bug fix in the works?,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
I’m trying to download a free game but it isn’t letting me get it. Getting told I need to update my card info and billing info but nothing has changed but when I put the correct info in it’s coming up this. What can I do,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
I've placed an order for what I thought was collect in store but it's gone through as hole delivery. Can I change this? ☹️,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
I had subscribed for apple music free trial version for 3 months and the very next day it charges me 3 something dollars. What's the point of 3 months free subscription here?,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
"Did a hard reset, turned off all message options, turned them back on, everthing is up 2 date that I know of, now some contacts will show",account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Why iPhone with iOS 11.1.2 in Thailand has reboot problems. a lot of customer had same problem. How to fix it,how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
"updated to the latest iOS, now my Bluetooth is always on, I have to manually turn it off, it’s annoying! How do I change it",how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
How do I get tech support from for my dead phone when I need the verification code sent to my (dead) phone in order to even contact support or make a Genius Bar reservation? This is a twisted web you've woven.,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
I'm a developer. How can I report an issue with API documentation? Should I file a bug report?,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"Yes 12.7 ,followed the steps using iTunes, 10.11.6 on iMac. Internal error,or just stops syncing, enough space on iPad.",product_bug_report,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
just updated my iPhone 6 to iOS 11 &amp; the Touch ID stopped working. I’ve never repaired this phone. Pls how do I resolve this?,how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
#ios11bugs volume buttons intermittently stop working with earphones plugged in when the phone is locked. Its annoying,account_access,general_complaint,False,General product complaint without clear technical diagnostic,
hi. Apple TV stuck in loop asking for password. Can you help?,account_access,account_access,False,Account access and settings inquiry,
iPhone X order reservation not found. Spent 1.5 hours w/ 800-MY-APPLE. Unable to resolve. Deadline 3pm E.😟 No phone for me?,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
this glitch is a bummer. Could you fix it? Thanks.,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
Wassup with these question mark boxes?,other_or_general_complaint,other,False,Ambiguous inquiry,
my friend forgot his icloud mail password and details since it was given to him a long time ago. he need info on how to reset,account_access,account_access,True,User locked out or credentials recovery requiring identity verification,
"I don't own an Apple product, but my address not being on the maps has caused issues with package deliveries, friends/family coming over, etc. Can I still add it somehow?",delivery_order_issue,other,False,Ambiguous inquiry,
"Still not working. Alarms go off, but at lowest/barely volume at all no matter what the vol setting says. Tried ringer, volume, change tone",product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
I am not currently using iCloud Photo Library so do not understand why this has happened,other_or_general_complaint,account_access,False,Account access and settings inquiry,
This was not helpful in the slightest bit. Thanks for trying to help. This new update is what’s causing the glitch,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
"Yes, error says either ‘iMessage must be enabled’ or it says ‘not delivered’ I use iMessage so it’s definitely enabled. iOS 11.0.3",product_bug_report,delivery_order_issue,False,General order status or pre-order inquiry,
no one seems to know what’s going on my lost order #customerservicefail #help,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
why did y’all take my money for crunchyroll app when I already paid it a few days ago?,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
"how do I roll back to an older iOS? This update is terrible, my phone never works",how_to_question,how_to_question,False,Knowledge base inquiry resolvable via standard documentation,
My iPhone 6 shuts down a lot and loses its charge really quickly since updates. Good luck. I have to carry a power charger with me. #annoying,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
"I’m aware that a restart will probably do the trick and solve this issue temporarily, but this bug has been happening recently on my iPhone X with the top icons malfunctioning and getting misplaced (disappearing at times too!)",product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
same exact problem for me as well and looks like mine is the same shipment as well,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
Hi I want to view the US app store (I'm in UK) as one of my iMessage sticker packs has been featured there. Is there a simple way to view it? Canceling music subscription and adding billing is a bit much,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
I bought a Native Union Belt XL Cable in Jun for £30 which no longer works. Can I get it replaced if I've lost the box?,how_to_question,other,False,Ambiguous inquiry,
"MacBook&gt; App SignIn doesn't work. Says my password is wrong. Changed it, unrecognised error occurs&gt;&gt;says to try again later. Any guesses?",account_access,account_access,False,Account access and settings inquiry,
It just draws a line between my end point and my start point most days. Or it doesn’t engage tracking for like a mile. Is this a known app issue or a watch issue?,delivery_order_issue,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
plz can u sort these updates out so my phone isnt crashing all the time! It was perfectly fine before the latest update came about! Now constantly freezin! Plz sort it out asap as ma phone is nearly being traded in for somethin else! 🙏 Its drivin me insane! Thanks!,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
im trying to get a new appleid to register as developer but i keep getting an error and it doesnt work.,product_bug_report,account_access,False,Account access and settings inquiry,
Ok I haven’t opened it or anything my music seems to have downloaded after restarting the phone 5 times .. 🤦🏻‍♀️,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
On m'explique pourquoi mon portable charge plus ?,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
Thanks.. This is what I wanted. It worked!!,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
Creo q el no poder reproducir vídeos a pantalla completa en #iPhoneX es un gran error o por lo menos el tamaño de los marcos y no he visto ninguna review que lo mencione,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Sound stoped working on #macbookpro touch bar. SMC reset did the trick. #SMSreset #Apple is it normal?,account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
money has been debited by itune..don’t know why??..plz..refund it immediately,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
It's ok. It didn't actually take that long. Just a momentary glitch installing El Capitan on an ancient MacBook. No worries. Thanks !,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
